Status,Path,Consensus / Baseline,Different Files,E:/Coding/Spyder Projects/XML-Editor/XMLs/game.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game4.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated.xml
Same as Baseline,/careerSavegame[1]/@revision,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 2,,2,2,2,2,2
Same as Baseline,/careerSavegame[1]/@valid,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: true,,true,true,true,true,true
Same as Baseline,/careerSavegame[1]/foliageTypes[1]/foliageType[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/foliageTypes[1]/foliageType[1]/@filename,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: data/foliage/onion/onion.xml,,data/foliage/onion/onion.xml,data/foliage/onion/onion.xml,data/foliage/onion/onion.xml,data/foliage/onion/onion.xml,data/foliage/onion/onion.xml
Same as Baseline,/careerSavegame[1]/foliageTypes[1]/foliageType[1]/@name,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: onion,,onion,onion,onion,onion,onion
Same as Baseline,/careerSavegame[1]/introductionHelp[1]/@active,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/introductionHelp[1]/shownElements[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/introductionHelp[1]/shownHints[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Different from Baseline,/careerSavegame[1]/map[1]/foundHelpIcons[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 00000000000000000000,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated.xml,00000000000000000000,00000000000000000000,00000000000000000000,00000000000000000000,0
Same as Baseline,/careerSavegame[1]/mapsSplitShapeFileIds[1]/@count,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1,,1,1,1,1,1
Same as Baseline,/careerSavegame[1]/mapsSplitShapeFileIds[1]/id[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mapsSplitShapeFileIds[1]/id[1]/@id,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 0,,0,0,0,0,0
Same as Baseline,/careerSavegame[1]/mod[1],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[1]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: e59ad491b98525fcfcd4ca4244115484,,e59ad491b98525fcfcd4ca4244115484,e59ad491b98525fcfcd4ca4244115484,e59ad491b98525fcfcd4ca4244115484,e59ad491b98525fcfcd4ca4244115484,e59ad491b98525fcfcd4ca4244115484
Same as Baseline,/careerSavegame[1]/mod[1]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_PerfectEdge,,FS25_PerfectEdge,FS25_PerfectEdge,FS25_PerfectEdge,FS25_PerfectEdge,FS25_PerfectEdge
Same as Baseline,/careerSavegame[1]/mod[1]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[1]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: PerfectEdge,,PerfectEdge,PerfectEdge,PerfectEdge,PerfectEdge,PerfectEdge
Same as Baseline,/careerSavegame[1]/mod[1]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.1.0.0,,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0
Same as Baseline,/careerSavegame[1]/mod[2],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[2]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: a910fbe59bd919187cacbfc7b63ec5a6,,a910fbe59bd919187cacbfc7b63ec5a6,a910fbe59bd919187cacbfc7b63ec5a6,a910fbe59bd919187cacbfc7b63ec5a6,a910fbe59bd919187cacbfc7b63ec5a6,a910fbe59bd919187cacbfc7b63ec5a6
Same as Baseline,/careerSavegame[1]/mod[2]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: pdlc_macDonPack,,pdlc_macDonPack,pdlc_macDonPack,pdlc_macDonPack,pdlc_macDonPack,pdlc_macDonPack
Same as Baseline,/careerSavegame[1]/mod[2]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[2]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: MacDon Pack,,MacDon Pack,MacDon Pack,MacDon Pack,MacDon Pack,MacDon Pack
Same as Baseline,/careerSavegame[1]/mod[2]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.1.0.0,,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0
Same as Baseline,/careerSavegame[1]/mod[3],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[3]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 94e7341f98b5a18703aba1481aa3da92,,94e7341f98b5a18703aba1481aa3da92,94e7341f98b5a18703aba1481aa3da92,94e7341f98b5a18703aba1481aa3da92,94e7341f98b5a18703aba1481aa3da92,94e7341f98b5a18703aba1481aa3da92
Same as Baseline,/careerSavegame[1]/mod[3]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_Ivoy_Chicken_Coop,,FS25_Ivoy_Chicken_Coop,FS25_Ivoy_Chicken_Coop,FS25_Ivoy_Chicken_Coop,FS25_Ivoy_Chicken_Coop,FS25_Ivoy_Chicken_Coop
Same as Baseline,/careerSavegame[1]/mod[3]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[3]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: Ivoy Chicken Coop,,Ivoy Chicken Coop,Ivoy Chicken Coop,Ivoy Chicken Coop,Ivoy Chicken Coop,Ivoy Chicken Coop
Same as Baseline,/careerSavegame[1]/mod[3]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.0,,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0
Same as Baseline,/careerSavegame[1]/mod[4],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[4]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 606b7e573054cdf745e81180c2e5898b,,606b7e573054cdf745e81180c2e5898b,606b7e573054cdf745e81180c2e5898b,606b7e573054cdf745e81180c2e5898b,606b7e573054cdf745e81180c2e5898b,606b7e573054cdf745e81180c2e5898b
Same as Baseline,/careerSavegame[1]/mod[4]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_johnDeereSeries7810,,FS25_johnDeereSeries7810,FS25_johnDeereSeries7810,FS25_johnDeereSeries7810,FS25_johnDeereSeries7810,FS25_johnDeereSeries7810
Same as Baseline,/careerSavegame[1]/mod[4]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[4]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: John Deere 7810,,John Deere 7810,John Deere 7810,John Deere 7810,John Deere 7810,John Deere 7810
Same as Baseline,/careerSavegame[1]/mod[4]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.2,,1.0.0.2,1.0.0.2,1.0.0.2,1.0.0.2,1.0.0.2
Same as Baseline,/careerSavegame[1]/mod[5],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[5]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 8abc077259637a9af37ed1c92ed951ac,,8abc077259637a9af37ed1c92ed951ac,8abc077259637a9af37ed1c92ed951ac,8abc077259637a9af37ed1c92ed951ac,8abc077259637a9af37ed1c92ed951ac,8abc077259637a9af37ed1c92ed951ac
